IMBD title ID,Original title,Release year,Genre,Duration,Country,Content Rating,Director,Income, Votes ,Score
tt0111161,The Shawshank Redemption,10/2/1995,Drama,142,USA,R,Frank Darabont,"$28,815,245 ",2.278.845,9.3
tt0068646,The Godfather,9/21/1972,Crime,,,,,,,
tt0468569,The Dark Knight,7/23/2008,Action,,,,,,,
tt0071562,The Godfather: Part II,9/25/1975,Crime,,,,,,,
tt0110912,Pulp Fiction,10/28/1994,Crime,,,,,,,
tt0167260,The Lord of the Rings: The Return of the King,2/22/2004,Action,,,,,,,
tt0108052,Schindler's List,11/3/1994,Biography,,,,,,,
tt0050083,12 Angry Men,4/9/1957,Crime,,,,,,,
tt1375666,Inception,9/24/2010,Action,,,,,,,
tt0137523,Fight Club,10/29/1999,Drama,Inf,UK,R,David Fincher,"$101,218,804 ",1.807.440,8.8
tt0109830,Forrest Gump,6/10/1994,Drama,,,,,,,
tt0120737,The Lord of the Rings: The Fellowship of the Ring,1/18/2002,Action,,,,,,,
tt0060196,Il buono,,,,,,,,,
tt0133093,The Matrix,7/5/1999,Action,,,,,,,
tt0167261,The Lord of the Rings: The Two Towers,1/16/2003,Action,,,,,,,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,9/19/1980,Action,,,,,,,
tt0099685,Goodfellas,9/20/1990,Biography,,,,,,,
tt0073486,One Flew Over the Cuckoo's Nest,11/18/1976,Drama,-,USA,R,Milos Forman,"$108,997,629 ",891.071,8.7
tt0816692,Interstellar,6/11/2014,Adventure,,,,,,,
tt0114369,Se7en,12/15/1995,Crime,,,,,,,
tt0102926,The Silence of the Lambs,5/3/1991,Crime,,,,,,,
tt0076759,Star Wars,10/20/1977,Action,,,,,,,
tt0120815,Saving Private Ryan,10/30/1998,Drama,,,,,,,
tt0120689,The Green Mile,3/10/2000,Crime,,,,,,,
tt0317248,Cidade de Deus,9/5/2003,Crime,,,,,,,
tt0245429,Sen to Chihiro no kamikakushi,4/18/2003,Animation,,,,,,,
tt0118799,La vita B9 bella,12/20/1997,Comedy,,,,,,,
tt6751668,Gisaengchung,7/11/2019,Comedy,,,,,,,
tt0038650,It's a Wonderful Life,11/3/1948,Drama,,,,,,,
tt0047478,Shichinin no samurai,8/19/1955,Action,,,,,,,
tt0172495,Gladiator,5/19/2000,Action,,,,,,,
tt0407887,The Departed,10/27/2006,Crime,,,,,,,
tt0482571,The Prestige,12/22/2006,Drama,,,,,,,
tt0088763,Back to the Future,10/18/1985,Adventure,,,,,,,
tt0120586,American History X,8/27/1999,Drama,119,USA,R,Tony Kaye,"$23,875,127 ",1.014.218,8.5
tt0110413,Léon,7/4/1995,Action,,,,,,,
tt0103064,Terminator 2: Judgment Day,12/19/1991,Action,,,,,,,
tt0114814,The Usual Suspects,11/30/1995,Crime,,,,,,,
tt0110357,The Lion King,11/25/1994,Animation,,,,,,,
tt7286456,Joker,3/10/2019,Crime,,,,,,,
tt1675434,Intouchables,2/24/2012,Biography,,,,,,,
tt0253474,The Pianist,10/25/2002,Biography,,,,,,,
tt2582802,Whiplash,12/2/2015,Drama,,,,,,,
tt0054215,Psycho,10/28/1960,Horror,,,,,,,
tt0034583,Casablanca,11/21/1946,Drama,,,,,,,
tt0064116,C'era una volta il West,12/21/1968,Western,165,Italy,PG-13,Sergio Leone,"$112,911 ",295.22,8.3
tt0095327,Hotaru no haka,11/10/2015,Animation,,,,,,,
tt0095765,Nuovo Cinema Paradiso,11/17/1988,Drama,155,Italy,#N/A,Giuseppe Tornatore,"$13,826,605 ",223.05,8.3
tt0027977,Modern Times,12/3/1937,Comedy,,,,,,,
tt1345836,The Dark Knight Rises,8/29/2012,Action,,,,,,,
tt1853728,Django Unchained,1/17/2013,Drama,,,,,,,
tt0209144,Memento,1/19/2001,Mystery,,,,,,,
tt0910970,WALL·E,10/17/2008,Animation,,,,,,,
tt0081505,The Shining,12/22/1980,Drama,,,,,,,
tt0082971,Raiders of the Lost Ark,12/6/1981,Action,,,,,,,
tt4154756,Avengers: Infinity War,4/25/2018,Action,,,,,,,
tt0078748,Alien,10/25/1979,Horror,,,,,,,
tt4154796,Avengers: Endgame,4/24/2019,Action,,,,,,,
tt0078788,Apocalypse Now,12/18/1979,Drama,,,,,,,
tt0364569,Oldeuboi,6/5/2005,Action,,,,,,,
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,3/4/1964,Comedy,95,UK,PG,Stanley Kubrick,"$9,443,876 ",441.115,8.1
tt0047396,Rear Window,4/14/1955,Mystery,,,,,,,
tt2380307,Coco,12/28/2017,Animation,,,,,,,
tt0405094,Das Leben der Anderen,6/4/2007,Drama,,,,,,,
tt4633694,Spider-Man: Into the Spider-Verse,12/25/2018,Animation,,,,,,,
tt1187043,3 Idiots,12/25/2009,Comedy,,,,,,,
tt0119698,Mononoke-hime,5/19/2000,Animation,,,,,,,
tt0087843,Once Upon a Time in America,9/28/1984,Crime,,,,,,,
tt0032553,The Great Dictator,6/25/1945,Comedy,,,,,,,
tt0043014,Sunset Blvd.,The 6th of marzo,,,,,,,,
tt0361748,Inglourious Basterds,2/10/2009,Adventure,,,,,,,
tt0169547,American Beauty,1/21/2000,Drama,122,USA,R,Sam Mendes,"$356,296,601 ",1.049.009,8
tt0112573,Braveheart,1/12/1995,Biography,,,,,,,
tt0086190,Star Wars: Episode VI - Return of the Jedi,10/21/1983,Action,,,,,,,
tt0105236,Reservoir Dogs,9/10/1992,Crime,,,,,,,
tt0338013,Eternal Sunshine of the Spotless Mind,10/22/2004,Drama,,,,,,,
tt0114709,Toy Story,3/22/1996,Animation,,,,,,,
tt0119217,Good Will Hunting,6/3/1998,Drama,,,,,,,
tt0208092,Snatch,3/16/2001,Comedy,,,,,,,
tt0180093,Requiem for a Dream,12/15/2000,Drama,102,USA,R,Darren Aronofsky,"$7,390,108 ",748.291,7.8
tt0066921,A Clockwork Orange,7/9/1972,Crime,,,,,,,
tt0435761,Toy Story 3,7/7/2010,Animation,,,,,,,
tt0086250,Scarface,1984/02/34,Crime,,,,,,,
tt0075314,Taxi Driver,1976/13/24,Crime,,,,,,,
tt0211915,Le fabuleux destin d'Amélie Poulain,1/25/2002,Comedy,,,,,,,
tt0093058,Full Metal Jacket,9/10/1987,Drama,,,,,,,
tt0090605,Aliens,9/24/1986,Action,,,,,,,
tt0062622,2001: A Space Odyssey,12/12/1968,Adventure,,,,,,,
tt0033467,Citizen Kane,11/25/1948,Drama,,,,,,,
tt8579674,1917,1/23/2020,Drama,,,,,,,
tt0086879,Amadeus,2/15/1985,Biography,,,,,,,
tt0052357,Vertigo,11/18/1958,Mystery,,,,,,,
tt0053125,North by Northwest,10/28/1959,Adventure,,,,,,,
tt2106476,Jagten,11/22/2012,Drama,115,Denmark,R,Thomas Vinterberg,"$15,843,274 ",269.616,7.5
tt0056172,Lawrence of Arabia,10/29/1963,Adventure,,,,,,,
tt0070735,The Sting,3/21/1974,Comedy,,,,,,,
tt0082096,Das Boot,3/18/1982,Adventure,,,,,,,
tt0059578,Per qualche dollaro in più,12/20/1965,Western,132,Italy,#N/A,Sergio Leone,"$15,000,000 ",226.039,7.4
tt1832382,Jodaeiye Nader az Simin,10/21/2011,Drama,123,Iran,PG-13,Asghar Farhadi,"$22,926,076 ",214.165,7.4
tt0045152,Singing in the Rain,5/2/1953,Comedy,,,,,,,
